priority,delay,speed,congestion,weather,time_of_day,passenger_load,fuel_level,platform_available,distance_to_next,track_condition,historical_punctuality,decision
Freight,8.7,43.2,3,Rainy,Peak,79.9,52.9,True,5.7,Maintenance,34.4,Slow Down
Freight,22.6,96.7,3,Cloudy,Peak,24.1,96.1,False,0.5,Maintenance,86.1,Stop
Local,3.9,76.5,4,Sunny,Peak,71.9,35.5,False,1.7,Maintenance,78.1,Slow Down
Freight,1.3,74.8,2,Stormy,Peak,64.0,92.4,False,20.0,Good,81.0,Stop
Local,29.5,79.8,1,Sunny,Non-Peak,55.2,79.7,False,9.5,Damaged,77.9,Stop
Express,28.6,67.4,2,Rainy,Non-Peak,74.6,57.9,False,2.5,Good,84.2,Slow Down
Local,0.9,85.6,5,Stormy,Non-Peak,65.3,21.6,True,20.0,Maintenance,39.9,Stop
Local,32.4,46.4,4,Stormy,Peak,74.2,88.7,True,1.3,Damaged,49.8,Stop
Freight,0.4,50.1,1,Cloudy,Peak,13.5,90.3,True,1.8,Maintenance,67.2,Slow Down
Freight,5.8,57.3,4,Cloudy,Peak,51.8,93.7,True,0.7,Maintenance,46.3,Slow Down
Express,11.5,79.2,0,Stormy,Non-Peak,60.4,99.2,False,2.2,Damaged,63.3,Stop
Express,16.1,74.9,6,Rainy,Non-Peak,50.0,18.6,True,6.6,Maintenance,72.4,Slow Down
Local,7.7,46.2,1,Stormy,Non-Peak,78.0,38.9,False,9.8,Damaged,55.4,Stop
Local,2.4,44.1,4,Cloudy,Peak,38.3,30.4,False,12.5,Damaged,89.1,Stop
Local,26.0,104.7,6,Cloudy,Non-Peak,27.9,58.2,False,7.2,Damaged,86.4,Stop
Freight,10.1,23.4,3,Cloudy,Non-Peak,42.5,61.9,True,13.9,Maintenance,87.9,Slow Down
Freight,17.2,85.8,1,Cloudy,Non-Peak,38.2,73.7,False,3.8,Damaged,92.0,Stop
Express,2.2,74.1,3,Sunny,Peak,86.2,11.4,True,2.0,Damaged,70.6,Stop
Local,22.2,76.4,4,Rainy,Peak,40.0,14.7,False,4.0,Maintenance,44.8,Stop
Express,1.2,80.9,1,Stormy,Peak,78.9,38.5,False,16.8,Good,36.2,Stop
Express,1.2,68.6,3,Stormy,Peak,84.7,73.1,False,2.7,Damaged,78.4,Stop
Local,3.6,60.4,3,Sunny,Peak,16.5,61.9,False,3.0,Good,71.7,Move
Freight,3.4,40.4,5,Foggy,Peak,43.2,44.2,False,4.6,Damaged,46.1,Stop
Local,32.2,104.0,5,Rainy,Peak,66.1,40.6,False,3.7,Maintenance,66.7,Slow Down
Freight,5.5,56.2,5,Cloudy,Peak,61.1,56.5,False,3.0,Maintenance,69.3,Slow Down
Express,1.3,80.7,8,Sunny,Peak,54.5,63.9,False,3.9,Good,79.7,Slow Down
Freight,1.3,80.3,4,Cloudy,Non-Peak,28.2,53.4,True,0.5,Good,86.9,Slow Down
Freight,4.6,49.2,2,Stormy,Non-Peak,49.7,36.2,False,2.7,Damaged,43.2,Stop
Local,25.1,80.9,0,Cloudy,Non-Peak,89.3,57.9,False,3.0,Maintenance,88.7,Slow Down
Freight,3.2,61.0,1,Sunny,Non-Peak,22.8,99.6,False,0.5,Maintenance,76.5,Stop
Express,2.6,66.8,3,Sunny,Non-Peak,63.0,14.1,False,0.6,Maintenance,89.5,Stop
Freight,10.5,64.8,0,Stormy,Non-Peak,44.2,10.9,False,9.5,Damaged,95.8,Stop
Express,12.9,78.6,4,Cloudy,Non-Peak,85.2,65.7,False,0.5,Maintenance,76.7,Stop
Express,7.5,77.2,2,Rainy,Peak,39.2,14.4,False,3.2,Good,76.0,Stop
Express,2.1,66.0,3,Foggy,Non-Peak,17.0,63.4,False,0.5,Maintenance,36.4,Stop
Express,2.7,55.3,4,Rainy,Non-Peak,92.0,60.5,False,7.7,Damaged,75.6,Stop
Freight,0.2,73.7,6,Sunny,Peak,42.8,23.8,False,8.8,Damaged,50.4,Stop
Freight,8.0,55.8,4,Cloudy,Non-Peak,47.4,68.2,True,1.6,Good,80.5,Slow Down
Express,11.9,75.9,3,Stormy,Peak,25.0,67.9,True,0.5,Good,85.3,Stop
Express,32.4,86.5,0,Rainy,Non-Peak,40.7,61.2,True,3.3,Maintenance,68.9,Slow Down
Freight,5.4,29.9,3,Stormy,Non-Peak,92.4,83.3,False,6.0,Maintenance,58.7,Stop
Express,18.7,59.3,0,Foggy,Peak,4.5,49.7,False,11.3,Good,52.2,Slow Down
Express,1.6,40.7,5,Sunny,Peak,63.7,85.7,False,0.8,Damaged,43.8,Stop
Express,17.5,43.3,4,Sunny,Non-Peak,52.5,57.3,False,5.8,Damaged,42.2,Stop
Local,3.4,73.7,5,Stormy,Peak,76.6,94.4,True,1.6,Damaged,63.3,Stop
Express,4.0,54.2,4,Sunny,Non-Peak,15.7,40.7,False,0.7,Maintenance,61.0,Stop
Local,1.5,57.3,2,Stormy,Peak,54.4,38.6,True,5.8,Good,92.2,Stop
Express,7.5,12.8,1,Cloudy,Non-Peak,14.4,28.7,False,5.2,Good,19.6,Move
Freight,6.3,49.6,2,Stormy,Peak,7.7,19.8,False,20.0,Maintenance,92.1,Stop
Express,6.9,72.6,3,Stormy,Peak,51.3,88.6,True,5.6,Damaged,56.3,Stop
Express,13.3,52.7,3,Rainy,Peak,36.8,68.1,True,6.2,Damaged,94.9,Stop
Freight,22.2,70.5,6,Rainy,Non-Peak,53.7,47.5,False,3.4,Good,78.6,Slow Down
Freight,5.2,50.5,3,Foggy,Non-Peak,58.0,27.7,True,2.1,Maintenance,66.5,Slow Down
Local,9.2,92.3,4,Foggy,Peak,39.8,35.4,False,9.3,Maintenance,64.0,Slow Down
Local,0.6,54.0,2,Rainy,Non-Peak,26.9,14.7,True,8.8,Good,76.5,Stop
Local,12.0,74.2,5,Cloudy,Peak,70.0,21.3,False,0.6,Maintenance,82.5,Stop
Freight,19.4,57.7,4,Foggy,Peak,94.6,80.5,True,6.6,Damaged,91.9,Stop
Freight,3.2,84.2,3,Foggy,Non-Peak,49.1,21.0,False,0.7,Maintenance,74.6,Stop
Local,4.1,84.6,7,Stormy,Non-Peak,61.5,32.6,True,8.0,Good,67.1,Stop
Express,15.9,44.3,2,Sunny,Peak,72.0,24.8,True,0.5,Good,54.6,Slow Down
Local,12.1,46.8,2,Stormy,Non-Peak,60.2,69.6,False,10.4,Damaged,61.8,Stop
Local,23.3,78.9,5,Sunny,Non-Peak,83.5,77.9,False,2.2,Maintenance,85.3,Slow Down
Express,6.3,71.0,3,Rainy,Non-Peak,40.1,68.0,True,1.5,Maintenance,96.5,Slow Down
Express,21.2,96.6,2,Sunny,Peak,38.4,75.6,False,1.9,Damaged,79.0,Stop
Express,13.8,75.1,6,Sunny,Non-Peak,60.2,88.0,False,4.8,Damaged,75.0,Stop
Express,22.7,58.3,2,Cloudy,Peak,22.1,80.9,True,3.0,Damaged,63.3,Stop
Freight,21.6,64.7,3,Rainy,Peak,65.5,98.3,False,20.0,Maintenance,70.8,Slow Down
Local,17.2,69.5,5,Rainy,Peak,50.8,12.3,False,8.0,Damaged,59.1,Stop
Express,5.0,21.0,2,Foggy,Peak,66.9,95.1,False,0.5,Damaged,41.6,Stop
Express,44.8,51.4,2,Foggy,Peak,33.0,76.1,False,2.1,Good,90.6,Slow Down
Express,2.7,28.3,5,Sunny,Peak,32.3,62.9,False,1.6,Maintenance,78.2,Slow Down
Freight,0.9,34.3,2,Cloudy,Non-Peak,43.4,81.9,True,20.0,Maintenance,88.0,Slow Down
Freight,8.4,34.4,1,Rainy,Non-Peak,89.8,83.6,False,10.7,Maintenance,81.4,Slow Down
Local,11.2,47.3,2,Foggy,Non-Peak,21.8,14.2,False,1.8,Maintenance,89.6,Stop
Express,8.9,62.3,5,Cloudy,Peak,85.1,25.6,False,0.5,Damaged,45.1,Stop
Express,26.8,62.4,1,Stormy,Peak,25.4,75.2,False,9.3,Damaged,53.6,Stop
Local,20.4,70.9,3,Sunny,Peak,64.0,22.7,False,4.6,Good,65.4,Move
Local,2.2,62.5,1,Cloudy,Peak,28.2,85.6,True,19.3,Damaged,67.6,Stop
Freight,12.8,38.0,5,Cloudy,Non-Peak,82.0,78.3,False,1.1,Damaged,34.2,Stop
Local,30.1,49.8,3,Cloudy,Non-Peak,53.9,53.1,True,5.5,Damaged,63.3,Stop
Local,4.2,18.6,4,Sunny,Non-Peak,49.3,98.5,False,0.5,Maintenance,35.1,Stop
Local,23.7,54.8,1,Rainy,Non-Peak,68.1,28.6,True,4.6,Maintenance,77.8,Slow Down
Freight,1.7,52.1,3,Rainy,Non-Peak,31.4,32.7,False,2.7,Good,53.7,Slow Down
Express,0.1,46.1,2,Sunny,Non-Peak,63.2,87.4,False,2.0,Good,67.8,Slow Down
Freight,1.8,92.2,2,Rainy,Peak,3.5,47.7,True,2.8,Damaged,52.5,Stop
Freight,24.1,71.1,4,Rainy,Peak,25.2,28.1,True,8.2,Damaged,82.0,Stop
Express,1.4,61.3,1,Rainy,Peak,81.4,53.7,False,6.8,Good,83.3,Slow Down
Freight,1.5,50.8,4,Rainy,Peak,26.5,29.1,True,2.7,Damaged,35.1,Stop
Local,2.3,20.7,2,Sunny,Peak,7.5,74.7,True,2.0,Good,65.9,Move
Express,0.5,50.7,4,Sunny,Peak,65.8,59.9,True,0.7,Good,75.7,Slow Down
Express,5.9,84.7,1,Rainy,Peak,33.8,66.5,True,9.2,Good,75.4,Slow Down
Local,11.8,31.3,1,Cloudy,Non-Peak,6.3,40.7,False,0.5,Maintenance,64.8,Stop
Freight,2.3,53.1,2,Sunny,Peak,58.9,50.3,True,3.3,Damaged,42.3,Stop
Local,16.7,65.0,2,Cloudy,Non-Peak,52.2,64.6,False,0.6,Good,78.7,Stop
Express,0.0,57.2,4,Cloudy,Peak,60.2,48.3,False,0.5,Good,87.5,Stop
Freight,7.7,69.3,0,Stormy,Peak,32.7,58.5,False,2.3,Good,96.3,Stop
Local,3.5,42.0,2,Rainy,Non-Peak,61.2,61.1,False,8.7,Damaged,72.7,Stop
Express,17.7,86.6,0,Sunny,Peak,36.6,15.4,False,0.7,Maintenance,92.7,Stop
Freight,4.8,38.0,5,Cloudy,Peak,66.5,20.0,True,4.1,Maintenance,50.3,Slow Down
Freight,0.7,44.4,4,Stormy,Non-Peak,65.8,54.9,True,13.4,Good,79.2,Stop
Express,9.5,74.7,5,Rainy,Peak,77.7,22.8,False,7.4,Maintenance,75.9,Slow Down
Express,7.1,27.6,6,Sunny,Non-Peak,68.1,10.6,False,0.5,Maintenance,37.6,Stop
Local,18.2,106.4,2,Cloudy,Non-Peak,38.3,78.4,False,0.6,Good,86.2,Stop
Freight,1.7,29.2,1,Sunny,Peak,27.2,29.0,False,6.3,Maintenance,40.9,Slow Down
Local,1.9,47.6,2,Stormy,Non-Peak,74.6,41.0,False,12.0,Good,83.4,Stop
Express,16.2,54.0,2,Sunny,Non-Peak,48.2,26.8,False,19.3,Maintenance,69.7,Slow Down
Express,1.3,45.2,7,Sunny,Peak,75.4,47.4,False,2.4,Good,89.0,Slow Down
Freight,4.9,31.0,2,Cloudy,Non-Peak,49.1,23.1,True,5.5,Maintenance,93.2,Slow Down
Local,6.0,28.6,0,Cloudy,Non-Peak,69.5,55.8,False,1.8,Good,92.9,Slow Down
Local,3.0,90.9,3,Cloudy,Peak,40.9,81.4,False,1.2,Damaged,82.2,Stop
Express,2.8,89.0,3,Stormy,Non-Peak,39.2,88.0,True,0.5,Maintenance,72.7,Stop
Local,3.3,40.5,2,Rainy,Non-Peak,51.5,83.6,False,3.2,Good,72.7,Slow Down
Freight,12.1,86.6,5,Cloudy,Non-Peak,82.2,69.3,True,6.2,Damaged,99.1,Stop
Express,9.4,55.4,6,Cloudy,Non-Peak,19.5,83.6,True,5.2,Maintenance,63.8,Slow Down
Local,2.4,58.0,7,Stormy,Peak,64.6,28.9,False,4.2,Good,66.7,Stop
Freight,3.1,34.8,3,Cloudy,Non-Peak,13.9,13.6,True,0.7,Maintenance,61.9,Stop
Freight,27.4,48.3,4,Sunny,Non-Peak,86.3,26.7,False,0.5,Good,70.9,Stop
Local,8.7,63.8,3,Cloudy,Peak,15.9,11.6,True,0.5,Good,70.8,Stop
Express,0.9,93.7,3,Rainy,Non-Peak,42.0,77.7,False,2.9,Maintenance,62.1,Slow Down
Local,1.9,70.1,3,Cloudy,Peak,11.8,14.7,False,0.7,Good,66.6,Stop
Freight,3.2,47.4,3,Sunny,Peak,67.9,45.9,False,2.8,Good,53.7,Move
Express,13.6,77.4,3,Stormy,Non-Peak,58.6,23.1,False,9.3,Damaged,78.7,Stop
Freight,3.2,65.6,2,Sunny,Non-Peak,30.7,37.4,False,3.3,Maintenance,92.1,Slow Down
Freight,7.3,45.8,4,Sunny,Peak,30.2,57.4,False,7.5,Maintenance,75.1,Slow Down
Freight,5.9,69.0,2,Cloudy,Peak,68.2,78.2,True,0.5,Good,62.0,Slow Down
Local,1.0,75.0,6,Cloudy,Peak,57.1,94.5,False,6.8,Good,87.6,Slow Down
Local,6.0,43.3,2,Cloudy,Non-Peak,45.2,67.7,True,4.4,Maintenance,82.0,Slow Down
Freight,2.8,58.4,2,Rainy,Peak,34.5,86.9,True,12.8,Damaged,56.4,Stop
Freight,1.7,24.3,1,Foggy,Peak,63.5,45.9,False,3.7,Good,93.2,Slow Down
Local,20.2,75.1,2,Foggy,Non-Peak,19.3,78.9,False,2.6,Good,78.3,Slow Down
Express,13.0,56.1,4,Cloudy,Non-Peak,79.5,49.2,False,4.1,Maintenance,85.6,Slow Down
Freight,33.0,63.5,3,Sunny,Non-Peak,72.1,95.0,False,15.5,Damaged,50.8,Stop
Express,10.5,30.2,5,Sunny,Peak,19.5,62.4,True,0.5,Maintenance,86.4,Slow Down
Freight,13.7,73.7,3,Sunny,Peak,55.4,64.9,True,20.0,Good,51.1,Move
Local,6.6,43.1,4,Stormy,Peak,95.0,19.1,False,4.5,Maintenance,60.8,Stop
Freight,1.5,65.4,1,Sunny,Non-Peak,79.0,38.9,True,0.5,Good,98.2,Slow Down
Express,11.3,49.7,3,Foggy,Non-Peak,78.2,12.2,True,0.5,Damaged,71.6,Stop
Express,5.8,55.8,1,Cloudy,Non-Peak,51.1,53.0,False,3.9,Good,62.4,Move
Express,2.0,51.9,4,Sunny,Non-Peak,69.9,62.0,True,5.6,Good,82.4,Move
Local,3.7,82.6,3,Foggy,Non-Peak,71.4,99.3,True,1.0,Good,58.2,Slow Down
Express,2.1,68.4,3,Stormy,Peak,42.8,65.2,False,1.8,Damaged,50.3,Stop
Freight,5.1,39.9,7,Sunny,Non-Peak,38.5,93.2,True,1.3,Good,79.6,Slow Down
Freight,42.6,67.1,3,Cloudy,Peak,44.6,68.8,True,5.0,Good,63.8,Slow Down
Local,7.9,43.1,1,Foggy,Peak,70.0,58.9,True,1.6,Maintenance,43.8,Slow Down
Express,0.7,73.4,2,Sunny,Non-Peak,56.5,71.1,True,1.7,Maintenance,77.1,Slow Down
Express,13.9,63.9,2,Sunny,Non-Peak,64.5,96.9,True,2.6,Maintenance,53.9,Slow Down
Express,7.4,54.0,4,Cloudy,Peak,19.4,36.7,True,1.1,Good,84.9,Slow Down
Express,3.0,74.4,3,Stormy,Peak,66.4,46.5,False,3.1,Damaged,25.8,Stop
Freight,17.8,106.6,2,Sunny,Peak,57.6,44.7,False,6.6,Maintenance,63.8,Slow Down
Local,8.8,64.3,8,Sunny,Non-Peak,14.7,70.7,False,2.6,Damaged,88.4,Stop
Freight,4.0,59.5,4,Rainy,Peak,69.5,10.6,False,13.4,Maintenance,38.1,Stop
Local,0.4,47.2,0,Cloudy,Peak,34.7,52.4,False,0.9,Maintenance,86.0,Stop
Express,2.8,42.9,4,Cloudy,Non-Peak,36.0,44.4,False,5.1,Maintenance,90.8,Slow Down
Express,3.8,81.4,2,Stormy,Peak,16.1,49.8,True,20.0,Maintenance,65.2,Stop
Express,0.6,70.8,3,Foggy,Peak,67.7,37.3,True,0.5,Damaged,31.8,Stop
Express,2.8,27.1,2,Sunny,Non-Peak,18.2,61.6,False,10.8,Good,78.6,Move
Express,26.5,83.8,4,Foggy,Non-Peak,26.9,55.8,True,1.4,Damaged,76.2,Stop
Express,2.7,63.7,3,Sunny,Non-Peak,49.4,53.4,False,4.8,Good,56.2,Move
Local,4.5,86.8,1,Foggy,Non-Peak,63.9,77.7,False,0.5,Damaged,88.6,Stop
Express,11.2,81.2,4,Foggy,Peak,15.6,78.5,False,1.1,Damaged,84.6,Stop
Express,13.6,39.4,1,Stormy,Non-Peak,86.5,92.0,False,2.7,Good,71.6,Stop
Local,5.2,76.5,11,Stormy,Non-Peak,67.9,75.6,True,11.1,Damaged,50.5,Stop
Local,8.9,51.6,2,Rainy,Non-Peak,51.1,32.7,False,1.1,Damaged,89.2,Stop
Local,1.3,12.6,5,Rainy,Non-Peak,77.9,47.7,True,5.1,Maintenance,93.5,Slow Down
Express,5.3,78.0,5,Stormy,Non-Peak,62.5,87.4,False,1.9,Good,72.8,Stop
Local,23.7,41.0,2,Sunny,Non-Peak,31.9,61.9,False,0.5,Good,42.4,Stop
Freight,1.5,54.4,4,Stormy,Non-Peak,52.4,54.6,True,8.3,Maintenance,70.9,Stop
Freight,6.9,48.9,1,Stormy,Non-Peak,78.6,17.4,False,2.6,Good,76.3,Stop
Freight,2.2,70.5,0,Stormy,Peak,53.8,97.9,True,1.4,Damaged,92.0,Stop
Express,10.4,80.4,4,Sunny,Peak,34.3,57.7,False,4.5,Maintenance,86.4,Slow Down
Express,33.5,52.6,3,Sunny,Non-Peak,63.7,11.1,False,6.4,Damaged,51.5,Stop
Express,6.2,16.8,1,Cloudy,Peak,49.2,41.6,True,6.6,Good,80.2,Move
Express,2.3,55.3,1,Sunny,Non-Peak,65.7,13.7,False,1.8,Good,86.5,Stop
Local,16.0,38.7,4,Sunny,Peak,20.6,39.6,False,7.4,Maintenance,68.8,Slow Down
Local,8.5,55.1,3,Stormy,Non-Peak,28.1,25.0,True,3.2,Damaged,55.3,Stop
Local,3.7,58.0,5,Rainy,Peak,75.8,51.1,True,3.7,Maintenance,77.7,Slow Down
Local,2.8,82.1,2,Cloudy,Non-Peak,77.4,78.2,True,14.0,Maintenance,86.4,Slow Down
Freight,13.6,79.2,2,Sunny,Peak,31.1,95.7,True,5.2,Good,73.9,Move
Local,0.3,75.7,2,Rainy,Peak,94.0,22.0,False,13.4,Maintenance,78.7,Slow Down
Local,29.4,41.9,2,Foggy,Peak,68.1,75.0,True,2.9,Good,53.7,Slow Down
Freight,8.2,87.5,3,Sunny,Peak,79.6,38.4,False,10.5,Good,93.4,Slow Down
Freight,23.9,90.5,3,Rainy,Peak,91.4,71.7,False,5.2,Damaged,85.2,Stop
Local,3.1,36.2,2,Cloudy,Non-Peak,74.2,94.3,False,3.9,Damaged,62.0,Stop
Local,10.6,67.0,2,Foggy,Peak,46.8,65.7,False,2.2,Maintenance,56.9,Slow Down
Express,7.5,41.8,4,Stormy,Peak,47.2,71.4,False,5.4,Damaged,86.9,Stop
Express,14.7,42.9,6,Rainy,Non-Peak,82.0,31.4,True,3.2,Maintenance,77.0,Slow Down
Local,11.6,15.2,3,Cloudy,Non-Peak,38.1,33.4,True,0.7,Good,91.7,Slow Down
Local,6.4,35.2,3,Sunny,Peak,57.2,76.3,True,0.5,Maintenance,74.9,Slow Down
Freight,3.6,97.3,1,Cloudy,Peak,51.9,11.9,False,7.5,Damaged,49.0,Stop
Express,0.6,51.0,3,Rainy,Peak,76.8,65.9,True,0.5,Maintenance,95.2,Slow Down
Freight,1.4,62.4,4,Rainy,Peak,64.0,50.0,True,2.3,Maintenance,83.6,Slow Down
Express,5.1,73.3,4,Cloudy,Non-Peak,42.8,43.7,True,0.5,Good,87.9,Slow Down
Local,24.9,30.3,1,Foggy,Peak,11.8,33.7,True,9.8,Damaged,72.3,Stop
Freight,6.5,67.5,4,Cloudy,Peak,94.1,19.5,False,0.5,Maintenance,63.1,Stop
Express,15.7,45.0,5,Foggy,Non-Peak,28.0,23.6,True,8.3,Good,67.4,Slow Down
Freight,5.9,101.5,4,Stormy,Peak,37.9,20.1,True,1.3,Good,83.8,Stop
Freight,7.6,45.5,1,Stormy,Peak,97.1,36.3,True,6.0,Maintenance,91.1,Stop
Local,11.5,41.1,2,Stormy,Peak,61.8,88.8,True,0.5,Damaged,42.0,Stop
Freight,12.5,42.2,2,Stormy,Non-Peak,8.4,34.7,False,4.4,Good,45.7,Stop
Local,4.6,60.2,1,Rainy,Non-Peak,76.0,54.1,False,7.3,Damaged,94.8,Stop
Local,16.1,44.8,2,Rainy,Peak,27.8,68.6,True,18.5,Damaged,89.7,Stop
Freight,26.1,24.0,2,Foggy,Non-Peak,35.4,96.2,True,0.5,Good,83.1,Slow Down
Express,0.3,41.9,5,Stormy,Non-Peak,54.3,79.8,False,7.8,Maintenance,48.9,Stop
Express,4.6,45.5,3,Foggy,Non-Peak,81.2,31.9,True,13.7,Good,41.5,Slow Down
Express,8.3,47.1,0,Foggy,Peak,90.1,65.4,True,18.1,Maintenance,79.0,Slow Down
Express,4.4,59.1,5,Stormy,Non-Peak,33.4,97.2,False,2.0,Good,38.4,Stop
Freight,3.4,43.2,2,Rainy,Non-Peak,23.5,57.9,True,0.5,Maintenance,95.1,Slow Down
Local,10.1,44.8,3,Foggy,Peak,34.8,26.9,True,0.7,Damaged,61.4,Stop
Express,3.1,35.7,5,Cloudy,Peak,23.1,14.8,True,5.6,Good,85.0,Stop
Freight,4.6,65.4,4,Foggy,Peak,24.5,86.5,True,10.2,Good,53.6,Slow Down
Local,2.1,68.4,3,Sunny,Peak,50.2,31.5,False,11.1,Damaged,61.1,Stop
Express,6.9,29.1,2,Foggy,Peak,84.6,27.1,True,2.8,Damaged,52.7,Stop
Local,3.0,33.5,3,Cloudy,Non-Peak,47.0,72.6,False,1.1,Good,69.1,Slow Down
Express,0.3,43.0,3,Rainy,Peak,14.1,77.7,True,0.5,Maintenance,75.5,Slow Down
Freight,6.8,68.2,2,Stormy,Peak,87.1,76.6,True,0.9,Damaged,48.4,Stop
Express,8.7,24.7,5,Foggy,Non-Peak,14.7,62.3,False,1.5,Maintenance,63.6,Slow Down
Local,2.6,32.7,3,Cloudy,Non-Peak,28.9,49.6,False,10.6,Damaged,54.9,Stop
Express,1.4,84.1,3,Sunny,Peak,50.8,84.3,False,0.5,Maintenance,60.7,Stop
Express,12.8,61.0,3,Stormy,Peak,57.4,38.5,True,5.6,Good,62.9,Stop
Freight,3.3,50.0,2,Rainy,Peak,81.1,45.0,True,17.8,Maintenance,68.4,Slow Down
Freight,6.2,56.9,4,Foggy,Peak,60.1,84.7,True,9.2,Maintenance,63.0,Slow Down
Freight,3.9,32.9,5,Stormy,Peak,79.6,13.1,True,13.7,Good,67.0,Stop
Freight,8.6,90.0,1,Sunny,Peak,36.8,85.5,False,1.5,Good,94.0,Slow Down
Express,1.9,21.5,2,Cloudy,Peak,82.0,25.0,True,0.5,Good,40.0,Slow Down
Freight,2.8,50.5,4,Rainy,Peak,30.0,86.2,True,2.8,Good,43.8,Slow Down
Freight,6.1,28.5,4,Cloudy,Peak,58.3,42.8,False,1.8,Damaged,54.1,Stop
Express,7.7,85.5,1,Foggy,Peak,51.2,15.2,False,3.7,Good,68.0,Slow Down
Express,3.5,55.8,1,Cloudy,Non-Peak,29.3,47.9,True,0.5,Damaged,86.7,Stop
Freight,1.1,20.0,2,Foggy,Peak,49.1,16.6,False,11.7,Damaged,70.5,Stop
Local,5.9,70.0,4,Stormy,Non-Peak,29.0,77.2,True,20.0,Damaged,70.8,Stop
Local,6.3,108.7,3,Sunny,Non-Peak,48.9,57.3,True,3.2,Damaged,49.8,Stop
Express,10.6,70.7,2,Foggy,Peak,35.9,69.0,False,1.4,Damaged,61.4,Stop
Local,5.4,56.2,3,Cloudy,Peak,70.8,34.1,True,2.4,Damaged,53.4,Stop
Freight,6.1,65.2,6,Cloudy,Peak,56.1,81.6,False,2.4,Good,58.8,Slow Down
Local,1.2,79.6,2,Foggy,Non-Peak,74.1,72.3,False,8.1,Good,62.5,Slow Down
Local,7.4,61.8,3,Sunny,Peak,75.7,38.7,True,3.3,Damaged,55.3,Stop
Freight,2.0,88.9,2,Rainy,Peak,61.7,33.9,True,5.6,Good,53.2,Slow Down
Local,0.6,61.5,4,Rainy,Non-Peak,55.2,59.1,True,3.0,Damaged,50.6,Stop
Express,29.1,47.8,6,Rainy,Peak,53.0,26.6,True,3.0,Maintenance,76.8,Slow Down
Express,3.9,70.0,1,Foggy,Non-Peak,40.9,57.1,False,1.6,Maintenance,78.1,Slow Down
Local,2.6,69.5,3,Rainy,Peak,68.4,80.3,True,0.5,Good,69.2,Slow Down
Freight,4.7,77.1,2,Foggy,Peak,42.4,10.6,True,0.6,Damaged,71.4,Stop
Express,1.1,66.7,2,Sunny,Peak,18.8,95.0,True,0.7,Damaged,57.9,Stop
Express,7.3,44.8,4,Sunny,Non-Peak,71.6,45.1,True,0.8,Good,68.9,Slow Down
Express,11.4,66.5,1,Rainy,Non-Peak,44.5,66.7,False,9.3,Maintenance,77.6,Slow Down
Express,22.0,62.6,3,Sunny,Peak,67.3,12.8,False,5.8,Damaged,33.2,Stop
Express,12.5,69.9,1,Sunny,Peak,73.5,63.9,True,8.1,Maintenance,84.0,Slow Down
Freight,25.9,38.7,4,Sunny,Non-Peak,48.1,19.0,False,0.6,Maintenance,52.5,Stop
Express,2.6,79.4,5,Sunny,Peak,22.0,33.0,False,6.3,Damaged,60.0,Stop
Local,0.4,21.1,4,Rainy,Non-Peak,34.9,31.1,False,0.5,Maintenance,72.6,Stop
Freight,13.3,42.9,2,Stormy,Peak,31.2,50.1,True,5.1,Good,77.7,Stop
Express,6.9,39.2,2,Sunny,Peak,23.3,64.3,True,17.7,Maintenance,57.8,Slow Down
Local,1.4,63.6,5,Sunny,Non-Peak,40.1,75.3,False,1.7,Maintenance,79.0,Slow Down
Local,18.3,50.1,3,Sunny,Peak,47.9,26.2,True,5.1,Good,64.7,Move
Express,26.6,37.8,3,Foggy,Peak,33.0,82.4,False,3.2,Good,84.6,Slow Down
Local,10.6,38.3,3,Stormy,Non-Peak,74.4,84.9,True,0.5,Good,74.9,Stop
Local,4.8,42.6,2,Sunny,Peak,15.5,94.2,True,1.7,Maintenance,73.8,Slow Down
Freight,15.7,73.3,5,Sunny,Peak,17.1,74.2,False,20.0,Maintenance,94.0,Slow Down
Local,25.6,66.8,5,Foggy,Non-Peak,92.1,91.8,False,1.5,Maintenance,71.8,Slow Down
Express,4.3,45.2,2,Stormy,Peak,47.6,25.5,False,15.4,Good,88.6,Stop
Express,2.6,42.7,7,Cloudy,Non-Peak,97.5,94.2,False,0.5,Maintenance,51.7,Stop
Express,6.4,70.2,8,Foggy,Non-Peak,31.5,93.7,False,1.2,Maintenance,79.8,Slow Down
Local,5.0,93.2,4,Sunny,Non-Peak,56.2,47.2,False,4.2,Maintenance,93.7,Slow Down
Express,13.2,52.5,2,Foggy,Peak,61.3,49.9,True,17.9,Damaged,96.5,Stop
Freight,2.9,46.2,1,Foggy,Peak,24.8,95.5,False,7.5,Damaged,83.6,Stop
Local,13.3,54.6,0,Stormy,Peak,23.8,73.3,False,1.6,Good,84.6,Stop
Express,7.4,76.4,0,Rainy,Non-Peak,26.3,70.5,True,1.2,Maintenance,57.7,Slow Down
Express,4.3,35.0,8,Sunny,Non-Peak,36.5,76.6,True,5.7,Maintenance,70.1,Slow Down
Express,3.7,63.7,0,Stormy,Peak,88.9,14.6,False,9.5,Damaged,87.0,Stop
Local,10.4,60.1,4,Foggy,Non-Peak,89.4,58.4,True,3.3,Good,87.4,Slow Down
Local,14.2,72.0,5,Cloudy,Peak,77.0,49.7,False,7.8,Damaged,25.7,Stop
